City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
515,maler kotla,30.5167,75.8833,17.84,31,51,8.11,IN,1708310982
516,coquimbo,-29.9533,-71.3436,17.85,88,100,3.6,CL,1708310982
517,al jawf,29.5,38.75,10.52,52,0,1.32,SA,1708310983
518,barabai,-2.5833,115.3833,32.82,56,60,1.64,ID,1708310983
519,cerrik,41.0317,19.9758,3.75,72,1,1.53,AL,1708310984
520,paracuru,-3.41,-39.0306,28.39,87,98,2.16,BR,1708310984
521,manturovo,58.3353,44.7619,-10.38,97,100,1.81,RU,1708310985
522,mar del plata,-38.0023,-57.5575,22.27,93,20,2.68,AR,1708310595
523,magdagachi,53.45,125.8,-23.27,69,8,4.3,RU,1708310986
524,novoishimskiy,53.1981,66.7694,-29.6,99,67,3.14,KZ,1708310986
525,ostashkov,57.1467,33.1075,-15.7,100,100,1.53,RU,1708310987
526,tomohon,1.3346,124.8392,24.52,69,56,2.1,ID,1708310987
527,queenstown,-31.8976,26.8753,11.62,95,34,1.02,ZA,1708310708
528,obligado,-27.0333,-55.6333,21.0,80,4,0.77,PY,1708310988
529,belo jardim,-8.3356,-36.4242,22.34,94,100,0.87,BR,1708310988
530,broken hill,-31.95,141.4333,33.7,11,34,5.05,AU,1708310990
531,yamada,39.4667,141.95,14.01,73,72,6.53,JP,1708310990
532,basco,20.4487,121.9702,25.43,81,5,6.35,PH,1708310991
533,gaiman,-43.2897,-65.4929,23.56,32,82,2.24,AR,1708310991
534,minjur,13.2667,80.2667,25.01,64,66,2.42,IN,1708310992
535,cill airne,52.05,-9.5167,9.95,90,100,4.45,IE,1708310992
536,as sulayyil,20.4607,45.5779,16.14,37,6,4.8,SA,1708310993
537,romita,20.8667,-101.5167,14.14,37,0,0.45,MX,1708310993
538,upington,-28.4478,21.2561,21.21,14,0,1.54,ZA,1708310780
539,alamos,27.0167,-108.9333,18.83,35,2,0.41,MX,1708310994
540,rumphi,-11.0186,33.8575,18.52,91,100,0.65,MW,1708310995
541,esmeralda,21.8525,-78.1169,24.3,82,48,4.52,CU,1708310996
542,obock,12.25,43.0833,20.07,78,100,5.03,DJ,1708310996
543,la mira,18.035,-102.3266,22.42,80,0,1.29,MX,1708310997
544,langres,47.8333,5.3333,7.88,97,100,3.62,FR,1708310997
545,los altos,37.3852,-122.1141,16.82,90,75,7.72,US,1708310840
546,nelson bay,-32.7167,152.15,20.03,92,100,2.13,AU,1708310998
547,villa altagracia,18.673,-70.171,25.62,92,7,1.36,DO,1708310999
548,namtsy,62.7161,129.6658,-35.28,92,89,0.79,RU,1708311000
549,chakia,26.4167,85.05,17.98,34,90,2.32,IN,1708311001
550,zaozersk,69.4005,32.4476,-7.04,90,77,8.85,RU,1708311001
551,port blair,11.6667,92.75,29.02,54,100,3.6,IN,1708311003
552,semporna,4.4818,118.6112,29.03,72,100,2.71,MY,1708311004
553,pangkalanbuun,-2.6833,111.6167,32.8,56,14,0.98,ID,1708311005
554,qarazhal,48.0078,70.7903,-26.31,90,5,4.03,KZ,1708311005
555,tambopata,-12.7333,-69.1833,23.58,98,94,1.27,PE,1708311006
556,opuwo,-18.0607,13.84,20.78,32,100,0.85,NA,1708311007
557,itamaraca,-7.7478,-34.8256,29.03,85,100,3.77,BR,1708311008
558,umm kaddadah,13.6017,26.6876,17.3,18,2,7.19,SD,1708311008
559,amga,60.8953,131.9608,-28.87,86,100,2.32,RU,1708311009
560,midland,31.9974,-102.0779,9.37,43,0,2.57,US,1708310906
561,sittwe,20.15,92.9,21.63,41,1,2.47,MM,1708311010
562,ijevan,40.8783,45.1492,2.4,95,94,0.32,AM,1708311011
563,geraldton,-28.7667,114.6,46.23,5,60,10.29,AU,1708311012
564,guapiles,10.2159,-83.7866,27.94,97,100,0.81,CR,1708311012
565,jayapura,-2.5333,140.7,29.66,71,94,3.08,ID,1708311013
566,minab,27.1467,57.0801,18.64,61,1,1.23,IR,1708311014
567,tynda,55.1667,124.7167,-28.44,77,38,3.1,RU,1708311015
568,cariamanga,-4.3333,-79.55,12.34,96,98,0.61,EC,1708311015
569,hargeysa,9.56,44.065,17.11,88,92,6.25,SO,1708311016
570,waasmunster,51.1188,4.0773,9.75,92,0,3.26,BE,1708311016
571,kiunga,-6.1219,141.2906,32.14,62,88,1.39,PG,1708311017
572,guixi,28.2886,117.2133,22.33,73,96,1.51,CN,1708311018
573,butembo,0.15,29.2833,15.32,87,100,1.23,CD,1708311019
574,cambria,35.5641,-121.0808,15.31,97,100,4.47,US,1708311019
575,kayangel,8.0823,134.7173,27.54,80,100,7.37,PW,1708311020
576,spring creek,40.7266,-115.5859,2.83,64,51,0.45,US,1708311020
577,tres arroyos,-38.3739,-60.2798,15.45,95,2,2.15,AR,1708311021
578,shahrisabz,39.0578,66.8342,-3.76,96,100,1.59,UZ,1708311022
